domain,provider_slugs,provider_labels,mx_hosts,mx_ipv4,mx_ipv6,mx_resolved_at,first_seen_at,last_seen_at,last_enriched_at
idox.ru,blackhole-mx-579705ce,blackhole.mx,void.blackhole.mx,195.201.28.161|78.47.159.103|95.217.0.12,2a01:4f8:1c0c:54b0::2|2a01:4f8:1c17:4376::2|2a01:4f9:c010:2ce2::2,2026-06-23T03:08:02.281Z,2026-06-04T00:00:01.971Z,2026-06-23T00:00:01.868Z,2026-06-20T00:00:42.307Z
maiol.ru,blackhole-mx-579705ce,blackhole.mx,void.blackhole.mx,195.201.28.161|78.47.159.103|95.217.0.12,2a01:4f8:1c0c:54b0::2|2a01:4f8:1c17:4376::2|2a01:4f9:c010:2ce2::2,2026-06-23T03:10:28.685Z,2026-06-04T00:00:01.971Z,2026-06-23T00:00:01.868Z,2026-06-20T00:00:47.974Z
maiul.ru,blackhole-mx-579705ce,blackhole.mx,void.blackhole.mx,195.201.28.161|78.47.159.103|95.217.0.12,2a01:4f8:1c0c:54b0::2|2a01:4f8:1c17:4376::2|2a01:4f9:c010:2ce2::2,2026-06-23T03:10:28.722Z,2026-06-04T00:00:01.971Z,2026-06-23T00:00:01.868Z,2026-06-20T00:00:48.437Z
rsmbler.ru,blackhole-mx-579705ce,blackhole.mx,void.blackhole.mx,195.201.28.161|78.47.159.103|95.217.0.12,2a01:4f8:1c0c:54b0::2|2a01:4f8:1c17:4376::2|2a01:4f9:c010:2ce2::2,2026-06-23T03:13:59.932Z,2026-06-04T00:00:01.971Z,2026-06-23T00:00:01.868Z,2026-06-20T00:00:56.867Z
yndeex.ru,blackhole-mx-579705ce,blackhole.mx,void.blackhole.mx,195.201.28.161|78.47.159.103|95.217.0.12,2a01:4f8:1c0c:54b0::2|2a01:4f8:1c17:4376::2|2a01:4f9:c010:2ce2::2,2026-06-23T03:18:01.601Z,2026-06-04T00:00:01.971Z,2026-06-23T00:00:01.868Z,2026-06-20T00:01:03.635Z
