domain,provider_slugs,provider_labels,mx_hosts,mx_ipv4,mx_ipv6,mx_resolved_at,first_seen_at,last_seen_at,last_enriched_at
datatap.com,datatap-com-cb03f1de,datatap.com,mailexchanger.datatap.com,104.37.188.34,,2026-09-08T03:04:27.490Z,2026-08-10T00:00:02.045Z,2026-09-08T00:00:01.775Z,2026-09-03T00:11:25.796Z
mailed.click,mailnesia-com-ce5fad3d,mailnesia.com,mailnesia.com,172.93.51.149,,2026-09-08T03:10:13.070Z,2026-08-06T00:00:01.467Z,2026-09-08T00:00:01.775Z,2026-09-07T00:25:22.531Z
makl.ru,blackhole-mx-579705ce,blackhole.mx,void.blackhole.mx,195.201.28.161|78.47.159.103|95.217.0.12,2a01:4f8:1c0c:54b0::2|2a01:4f8:1c17:4376::2|2a01:4f9:c010:2ce2::2,2026-09-08T03:10:23.420Z,2026-08-10T00:00:02.045Z,2026-09-08T00:00:01.775Z,2026-09-03T00:11:27.525Z
xandex.ru,blackhole-mx-579705ce,blackhole.mx,void.blackhole.mx,195.201.28.161|78.47.159.103|95.217.0.12,2a01:4f8:1c0c:54b0::2|2a01:4f8:1c17:4376::2|2a01:4f9:c010:2ce2::2,2026-09-08T03:17:39.288Z,2026-08-10T00:00:02.045Z,2026-09-08T00:00:01.775Z,2026-09-03T00:11:27.947Z
yandsx.ru,blackhole-mx-579705ce,blackhole.mx,void.blackhole.mx,195.201.28.161|78.47.159.103|95.217.0.12,2a01:4f8:1c0c:54b0::2|2a01:4f8:1c17:4376::2|2a01:4f9:c010:2ce2::2,2026-09-08T03:17:51.941Z,2026-08-10T00:00:02.045Z,2026-09-08T00:00:01.775Z,2026-09-03T00:11:33.285Z
