slug,type,key,label,domain_count,source_domain_count,mx_hosts,mx_ipv4,mx_ipv6,first_seen_at,last_seen_at,last_enriched_at
testitesti-top-0b42f468,mx_host,testitesti.top,testitesti.top,10,10,mail.testitesti.top,164.68.127.71,,2026-07-31T11:00:02.482Z,2026-07-31T11:00:02.482Z,
chinaqoe-com-dbde3a64,mx_host,chinaqoe.com,chinaqoe.com,7,7,li.chinaqoe.com|smtp.chinaqoe.com,47.238.125.101|8.218.185.33,,2026-07-31T00:00:02.093Z,2026-07-31T00:00:02.093Z,2026-07-31T00:55:13.863Z
guzel-net-tr-b43519ca,mx_host,guzel.net.tr,guzel.net.tr,7,7,mt-spamexperts.guzel.net.tr|ni-spamexperts.guzel.net.tr|pmg.guzel.net.tr|pmg2.guzel.net.tr,104.247.160.45|104.247.160.49|104.247.160.55|104.247.160.65|185.106.211.36|31.192.212.44,2a06:41c0::35|2a06:41c0:1::3|2a06:41c0:1::4|2a06:41c0:1::6,2026-07-31T00:00:02.093Z,2026-07-31T00:00:02.093Z,2026-07-31T00:58:26.900Z
tempmail-plus-com-5af8c88f,mx_host,tempmail-plus.com,tempmail-plus.com,5,5,mail.tempmail-plus.com,104.247.167.50,,2026-07-31T00:00:02.093Z,2026-07-31T00:00:02.093Z,2026-07-31T00:58:58.203Z
likemail-com-97e0829f,mx_host,likemail.com,likemail.com,4,4,mail.likemail.com,67.225.128.18,,2026-07-31T00:00:02.093Z,2026-07-31T00:00:02.093Z,2026-07-31T01:04:30.713Z
1mail-lt-9b0e57fa,mx_host,1mail.lt,1mail.lt,2,2,mail.1mail.lt,178.104.155.248,,2026-07-31T00:00:02.093Z,2026-07-31T00:00:02.093Z,2026-07-31T00:23:32.488Z
edud-site-cbf792df,mx_host,edud.site,edud.site,2,2,edud.site|mail.edud.site|mail.volkai.cloud|volkai.cloud,72.60.135.202,2a02:4780:4:a605::1,2026-07-31T00:00:02.093Z,2026-07-31T00:00:02.093Z,2026-07-31T00:37:03.138Z
24x7-lc-34a2025a,mx_host,24x7.lc,24x7.lc,1,1,mail.24x7.lc,178.16.53.37,,2026-07-31T11:00:02.482Z,2026-07-31T11:00:02.482Z,
4sauna-ru-a1aeed0a,mx_host,4sauna.ru,4sauna.ru,1,1,mail.4sauna.ru,141.8.192.16,2a0a:2b42:18:7623::,2026-07-31T00:00:02.093Z,2026-07-31T00:00:02.093Z,2026-07-31T00:23:49.886Z
808651-com-0cbd26d3,mx_host,808651.com,808651.com,1,1,mx-in.808651.com,192.99.207.157,,2026-07-31T00:00:02.093Z,2026-07-31T00:00:02.093Z,2026-07-31T00:24:06.128Z
air-com-f65dabad,mx_host,air.com,air.com,1,1,air.com,66.45.234.162,,2026-07-31T00:00:02.093Z,2026-07-31T00:00:02.093Z,2026-07-31T00:24:53.672Z
antispams-com-96b3ba71,mx_host,antispams.com,antispams.com,1,1,mx.antispams.com,51.38.122.115,,2026-07-31T00:00:02.093Z,2026-07-31T00:00:02.093Z,2026-07-31T00:56:57.827Z
aonwin-com-c682c8f4,mx_host,aonwin.com,aonwin.com,1,1,mail.aonwin.com,38.54.119.91,,2026-07-31T00:00:02.093Z,2026-07-31T00:00:02.093Z,2026-07-31T00:25:54.476Z
argewebhosting-nl-3b3771ac,mx_host,argewebhosting.nl,argewebhosting.nl,1,1,bounce.argewebhosting.nl,185.103.241.22|185.103.241.23|185.223.33.23|185.223.33.25|185.223.33.26,2a01:b941:2::23|2a01:b941:2::28|2a01:b941:2::29|2a05:1500:702:9:1c00:7fff:fe00:5556|2a05:1500:702:9:1c00:f0ff:fe00:5555,2026-07-31T00:00:02.093Z,2026-07-31T00:00:02.093Z,2026-07-31T00:39:42.917Z
autorijschoolpoul-com-19b5dce8,mx_host,autorijschoolpoul.com,autorijschoolpoul.com,1,1,autorijschoolpoul.com,45.152.249.2,2a12:5040:1:302:248a:39ff:fe73:1471,2026-07-31T00:00:02.093Z,2026-07-31T00:00:02.093Z,2026-07-31T00:26:34.267Z
bcnsc-online-52baafd7,mx_host,bcnsc.online,bcnsc.online,1,1,bcnsc.online,86.107.77.15,,2026-07-31T00:00:02.093Z,2026-07-31T00:00:02.093Z,2026-07-31T00:27:04.381Z
bulc-club-50cc686d,mx_host,bulc.club,bulc.club,1,1,bulc.club,64.91.248.169,,2026-07-31T00:00:02.093Z,2026-07-31T00:00:02.093Z,2026-07-31T00:28:33.248Z
burkiewicz-pl-c1a844f3,mx_host,burkiewicz.pl,burkiewicz.pl,1,1,mail.burkiewicz.pl,64.20.34.139,,2026-07-31T00:00:02.093Z,2026-07-31T00:00:02.093Z,2026-07-31T00:28:35.984Z
bvgb-com-42979293,mx_host,bvgb.com,bvgb.com,1,1,mail.bvgb.com,162.220.208.138,,2026-07-31T00:00:02.093Z,2026-07-31T00:00:02.093Z,2026-07-31T00:28:40.744Z
centralnic-net-c8f84b95,mx_host,centralnic.net,centralnic.net,1,1,eu-com-wildcard-null-mx.centralnic.net,,,2026-07-31T00:00:02.093Z,2026-07-31T00:00:02.093Z,2026-07-31T01:00:05.672Z
cf2c-net-12f72a41,mx_host,cf2c.net,cf2c.net,1,1,mail.cf2c.net|mail.courrier.cf2c.net|mxbackup1.junkemailfilter.com|mxbackup2.junkemailfilter.com,184.105.182.145|184.105.182.215|184.105.182.216|184.105.182.217|184.105.182.225|184.105.182.226|184.105.182.227|57.129.69.78|82.65.253.134,,2026-07-31T00:00:02.093Z,2026-07-31T00:00:02.093Z,2026-07-31T00:28:58.705Z
cktd-com-bcd643ec,mx_host,cktd.com,cktd.com,1,1,mail.cktd.com,162.220.208.138,,2026-07-31T00:00:02.093Z,2026-07-31T00:00:02.093Z,2026-07-31T00:29:25.294Z
conmail-top-6b9cb5e6,mx_host,conmail.top,conmail.top,1,1,mail.conmail.top,179.43.151.86,,2026-07-31T00:00:02.093Z,2026-07-31T00:00:02.093Z,2026-07-31T00:29:41.672Z
copypastalove-click-6379b528,mx_host,copypastalove.click,copypastalove.click,1,1,mail.copypastalove.click,167.71.185.60,,2026-07-31T00:00:02.093Z,2026-07-31T00:00:02.093Z,2026-07-31T00:29:47.430Z
dbwot-com-0b32d393,mx_host,dbwot.com,dbwot.com,1,1,mx.dbwot.com,143.110.211.229,,2026-07-31T00:00:02.093Z,2026-07-31T00:00:02.093Z,2026-07-31T00:30:15.369Z
dgzlweb-com-b48e27f9,mx_host,dgzlweb.com,dgzlweb.com,1,1,dgzlweb.com,185.196.37.91,,2026-07-31T00:00:02.093Z,2026-07-31T00:00:02.093Z,2026-07-31T00:30:47.115Z
diurstb-com-f7406cc3,mx_host,diurstb.com,diurstb.com,1,1,rte01.diurstb.com,138.197.239.249,,2026-07-31T00:00:02.093Z,2026-07-31T00:00:02.093Z,2026-07-31T00:31:12.182Z
dtgun-com-a9ed219c,mx_host,dtgun.com,dtgun.com,1,1,mail.dtgun.com,212.231.224.143,,2026-07-31T00:00:02.093Z,2026-07-31T00:00:02.093Z,2026-07-31T00:31:34.592Z
duccong-pro-0a52fea5,mx_host,duccong.pro,duccong.pro,1,1,mx.duccong.pro,144.202.74.43,,2026-07-31T00:00:02.093Z,2026-07-31T00:00:02.093Z,2026-07-31T00:31:36.369Z
dzieciswiat-pl-61ccbfc5,mx_host,dzieciswiat.pl,dzieciswiat.pl,1,1,dzieciswiat.pl,188.128.207.209,,2026-07-31T00:00:02.093Z,2026-07-31T00:00:02.093Z,2026-07-31T00:31:45.156Z
echoharbor-in-c4f27ef5,mx_host,echoharbor.in,echoharbor.in,1,1,mx.echoharbor.in,152.53.245.147,,2026-07-31T00:00:02.093Z,2026-07-31T00:00:02.093Z,2026-07-31T00:31:54.777Z
ekiu-com-38e4acea,mx_host,ekiu.com,ekiu.com,1,1,mail.ekiu.com,104.152.168.209,,2026-07-31T00:00:02.093Z,2026-07-31T00:00:02.093Z,2026-07-31T00:33:33.347Z
exclusiveking-club-2b45c1d7,mx_host,exclusiveking.club,exclusiveking.club,1,1,mail.exclusiveking.club,167.71.185.60,,2026-07-31T00:00:02.093Z,2026-07-31T00:00:02.093Z,2026-07-31T00:35:40.877Z
expert-seo-company-com-747a304f,mx_host,expert-seo-company.com,expert-seo-company.com,1,1,mx.expert-seo-company.com,52.18.59.124,,2026-07-31T00:00:02.093Z,2026-07-31T00:00:02.093Z,2026-07-31T00:35:43.233Z
fabulous-com-4d856048,mx_host,fabulous.com,fabulous.com,1,1,deadletter.fabulous.com,,,2026-07-31T00:00:02.093Z,2026-07-31T00:00:02.093Z,2026-07-31T00:41:54.397Z
gcx-pl-48218f49,mx_host,gcx.pl,gcx.pl,1,1,mta.gcx.pl,116.202.245.98,,2026-07-31T00:00:02.093Z,2026-07-31T00:00:02.093Z,2026-07-31T00:36:49.677Z
gdf-it-090be962,mx_host,gdf.it,gdf.it,1,1,edge.gdf.it,2.45.152.163|2.45.152.164|2.45.152.165|2.45.152.166,,2026-07-31T00:00:02.093Z,2026-07-31T00:00:02.093Z,2026-07-31T00:36:51.397Z
glastonventures-net-ab48959e,mx_host,glastonventures.net,glastonventures.net,1,1,glastonventures.net,185.99.254.4,,2026-07-31T00:00:02.093Z,2026-07-31T00:00:02.093Z,2026-07-31T00:37:01.941Z
gmails-top-36fa9c55,mx_host,gmails.top,gmails.top,1,1,mail.gmails.top,43.154.31.118,,2026-07-31T00:00:02.093Z,2026-07-31T00:00:02.093Z,2026-07-31T00:37:21.627Z
