domain,provider_slugs,provider_labels,mx_hosts,mx_ipv4,mx_ipv6,mx_resolved_at,first_seen_at,last_seen_at,last_enriched_at
arkoo.site,generator-email-27002afd,generator.email,generator.email,91.196.52.205,,2026-07-05T11:00:01.537Z,2026-07-05T11:00:01.537Z,2026-07-05T11:00:01.537Z,
daxen.lat,,,alt1.aspmx.l.google.com|alt2.aspmx.l.google.com|alt3.aspmx.l.google.com|alt4.aspmx.l.google.com|aspmx.l.google.com,142.250.147.26|142.250.147.27|142.251.127.26|172.253.148.26|66.102.1.26,2a00:1450:4001:c21::1b|2a00:1450:400c:c1d::1b|2a00:1450:4013:c1e::1a|2a00:1450:4025:4401::1a|2a00:1450:4025:c01::1b,2026-07-05T11:00:01.537Z,2026-07-05T11:00:01.537Z,2026-07-05T11:00:01.537Z,
gmsil.cm,h-email-net-2f9bd5ed,h-email.net,mail.h-email.net,162.55.164.116|165.227.156.49|165.227.159.144|167.235.143.33|178.62.199.248|49.13.4.90|5.161.194.135|5.161.98.212|5.75.171.74|91.107.214.206,,2026-07-05T03:07:21.607Z,2026-07-05T00:00:01.900Z,2026-07-05T00:00:01.900Z,2026-07-05T00:05:23.164Z
mostelekom.ru,blackhole-mx-579705ce,blackhole.mx,void.blackhole.mx,195.201.28.161|78.47.159.103|95.217.0.12,2a01:4f8:1c0c:54b0::2|2a01:4f8:1c17:4376::2|2a01:4f9:c010:2ce2::2,2026-07-05T03:11:53.444Z,2026-07-05T00:00:01.900Z,2026-07-05T00:00:01.900Z,2026-07-05T00:05:25.252Z
ptc5v.anonbox.net,anonbox-net-b4af7437,anonbox.net,anonbox.net,185.106.84.103,,2026-07-05T11:00:01.537Z,2026-07-05T11:00:01.537Z,2026-07-05T11:00:01.537Z,
stapedifmail.ru,stapedifmail-ru-1a872c98,stapedifmail.ru,mail.stapedifmail.ru,5.230.123.239,,2026-07-05T11:00:01.537Z,2026-07-05T11:00:01.537Z,2026-07-05T11:00:01.537Z,
unjustimyu.ru,unjustimyu-ru-c8b9bb43,unjustimyu.ru,mail.unjustimyu.ru,5.230.123.239,,2026-07-05T11:00:01.537Z,2026-07-05T11:00:01.537Z,2026-07-05T11:00:01.537Z,
yyandex.ru,blackhole-mx-579705ce,blackhole.mx,void.blackhole.mx,195.201.28.161|78.47.159.103|95.217.0.12,2a01:4f8:1c0c:54b0::2|2a01:4f8:1c17:4376::2|2a01:4f9:c010:2ce2::2,2026-07-05T03:19:49.283Z,2026-07-05T00:00:01.900Z,2026-07-05T00:00:01.900Z,2026-07-05T00:05:26.357Z
