domain,provider_slugs,provider_labels,mx_hosts,mx_ipv4,mx_ipv6,mx_resolved_at,first_seen_at,last_seen_at,last_enriched_at
cnyuancheng.com,263-net-676f1020,263.net,mx.263.net|mxw.263.net,107.150.117.76|128.1.42.104|128.14.224.70,,2026-07-07T03:04:22.542Z,2026-06-08T11:00:02.224Z,2026-07-07T00:00:02.145Z,2026-07-03T00:00:25.847Z
gmcom.ru,blackhole-mx-579705ce,blackhole.mx,void.blackhole.mx,195.201.28.161|78.47.159.103|95.217.0.12,2a01:4f8:1c0c:54b0::2|2a01:4f8:1c17:4376::2|2a01:4f9:c010:2ce2::2,2026-07-07T03:07:31.407Z,2026-06-08T00:00:01.452Z,2026-07-07T00:00:02.145Z,2026-07-02T00:00:23.067Z
yn.ru,blackhole-mx-579705ce,blackhole.mx,void.blackhole.mx,195.201.28.161|78.47.159.103|95.217.0.12,2a01:4f8:1c0c:54b0::2|2a01:4f8:1c17:4376::2|2a01:4f9:c010:2ce2::2,2026-07-07T03:19:40.524Z,2026-06-08T00:00:01.452Z,2026-07-07T00:00:02.145Z,2026-07-02T00:00:23.681Z
