domain,provider_slugs,provider_labels,mx_hosts,mx_ipv4,mx_ipv6,mx_resolved_at,first_seen_at,last_seen_at,last_enriched_at
maij.ru,blackhole-mx-579705ce,blackhole.mx,void.blackhole.mx,195.201.28.161|78.47.159.103|95.217.0.12,2a01:4f8:1c0c:54b0::2|2a01:4f8:1c17:4376::2|2a01:4f9:c010:2ce2::2,2026-07-27T03:11:15.636Z,2026-06-28T00:00:02.223Z,2026-07-27T00:00:01.858Z,2026-07-22T00:01:05.978Z
perkmylife.com,,,,,,2026-07-27T11:00:01.594Z,2026-06-27T11:00:01.513Z,2026-07-27T00:00:01.858Z,2026-07-22T00:00:58.856Z
veriquality.net,263-net-676f1020,263.net,mx.263.net|mxw.263.net,107.150.117.76|128.1.42.104|128.14.224.70,,2026-07-27T03:19:18.339Z,2026-06-28T11:00:02.173Z,2026-07-27T00:00:01.858Z,2026-07-23T00:24:51.256Z
