domain,provider_slugs,provider_labels,mx_hosts,mx_ipv4,mx_ipv6,mx_resolved_at,first_seen_at,last_seen_at,last_enriched_at
2bd.net,,,,,,2026-06-30T11:00:01.518Z,2026-05-29T00:00:02.206Z,2026-06-30T00:00:02.154Z,2026-06-22T16:28:55.159Z
gmil.ru,blackhole-mx-579705ce,blackhole.mx,void.blackhole.mx,195.201.28.161|78.47.159.103|95.217.0.12,2a01:4f8:1c0c:54b0::2|2a01:4f8:1c17:4376::2|2a01:4f9:c010:2ce2::2,2026-06-30T03:06:33.463Z,2026-06-04T00:00:01.971Z,2026-06-30T00:00:02.154Z,2026-06-28T00:00:44.989Z
googlail.com,h-email-net-2f9bd5ed,h-email.net,mail.h-email.net,162.55.164.116|165.227.156.49|165.227.159.144|167.235.143.33|178.62.199.248|49.13.4.90|5.161.194.135|5.161.98.212|5.75.171.74|91.107.214.206,,2026-06-30T03:06:40.711Z,2026-06-04T00:00:01.971Z,2026-06-30T00:00:02.154Z,2026-06-28T00:00:46.589Z
hydefaucet.com,263-net-676f1020,263.net,mx.263.net|mxw.263.net,107.150.117.76|128.1.42.104|128.14.224.70,,2026-06-30T03:07:30.561Z,2026-06-04T00:00:01.971Z,2026-06-30T00:00:02.154Z,2026-06-28T00:00:47.573Z
klcgroup.com.cn,263-net-676f1020,263.net,mx.263.net|mxw.263.net,107.150.117.76|128.1.42.104|128.14.224.70,,2026-06-30T03:08:53.680Z,2026-06-04T00:00:01.971Z,2026-06-30T00:00:02.154Z,2026-06-28T00:00:48.498Z
