domain,provider_slugs,provider_labels,mx_hosts,mx_ipv4,mx_ipv6,mx_resolved_at,first_seen_at,last_seen_at,last_enriched_at
centerzeta.com,centerzeta-com-375e183c,centerzeta.com,centerzeta.com,185.193.125.221,,2026-09-21T03:03:52.158Z,2026-08-23T00:00:02.414Z,2026-09-21T00:00:02.417Z,2026-09-16T00:22:37.613Z
cnepen.cn,263-net-676f1020,263.net,mx.263.net|mxw.263.net,107.150.117.76|128.1.42.104|128.14.224.70,,2026-09-21T03:04:10.052Z,2026-08-23T00:00:02.414Z,2026-09-21T00:00:02.417Z,2026-09-16T00:22:38.908Z
dgprime.ru,,,,,,2026-09-21T11:00:01.950Z,2026-08-23T00:00:02.414Z,2026-09-21T00:00:02.417Z,2026-09-16T00:22:44.515Z
jiasheng-china.com,263-net-676f1020,263.net,mx.263.net|mxw.263.net,107.150.117.76|128.1.42.104|128.14.224.70,,2026-09-21T03:08:48.747Z,2026-08-23T00:00:02.414Z,2026-09-21T00:00:02.417Z,2026-09-16T00:22:45.118Z
kug.ru,blackhole-mx-579705ce,blackhole.mx,void.blackhole.mx,195.201.28.161|78.47.159.103|95.217.0.12,2a01:4f8:1c0c:54b0::2|2a01:4f8:1c17:4376::2|2a01:4f9:c010:2ce2::2,2026-09-21T03:09:37.460Z,2026-08-23T00:00:02.414Z,2026-09-21T00:00:02.417Z,2026-09-16T00:22:45.541Z
warpzen.net,centerzeta-com-375e183c,centerzeta.com,centerzeta.com,185.193.125.221,,2026-09-21T03:17:30.646Z,2026-08-23T00:00:02.414Z,2026-09-21T00:00:02.417Z,2026-09-16T00:22:47.199Z
ywehs.lat,,,alt1.aspmx.l.google.com|alt2.aspmx.l.google.com|alt3.aspmx.l.google.com|alt4.aspmx.l.google.com|aspmx.l.google.com,142.250.147.27|142.251.127.27|172.253.148.26,2404:6800:4013:813::1a|2a00:1450:4001:c21::1a|2a00:1450:4025:4401::1b|2a00:1450:4025:c01::1a,2026-09-21T11:00:01.950Z,2026-09-21T11:00:01.950Z,2026-09-21T11:00:01.950Z,
