domain,provider_slugs,provider_labels,mx_hosts,mx_ipv4,mx_ipv6,mx_resolved_at,first_seen_at,last_seen_at,last_enriched_at
bilsasavunma.com.tr,guzel-net-tr-b43519ca,guzel.net.tr,mt-spamexperts.guzel.net.tr|ni-spamexperts.guzel.net.tr|pmg.guzel.net.tr|pmg2.guzel.net.tr,104.247.160.45|104.247.160.49|104.247.160.55|104.247.160.65|185.106.211.36|31.192.212.44,2a06:41c0::35|2a06:41c0:1::3|2a06:41c0:1::4|2a06:41c0:1::6,2026-08-25T03:02:47.449Z,2026-08-25T00:00:01.735Z,2026-08-25T00:00:01.735Z,
bit-harbor.com,,,,,,,,,
byv5l.anonbox.net,anonbox-net-b4af7437,anonbox.net,anonbox.net,185.106.84.103,,2026-08-25T11:00:02.391Z,2026-08-25T11:00:02.391Z,2026-08-25T11:00:02.391Z,
iolq.top,,,,,,2026-08-25T11:00:02.391Z,2026-08-25T00:00:01.735Z,2026-08-25T00:00:01.735Z,
kcgf.bxqssnft.web.id,generator-email-27002afd,generator.email,generator.email,91.196.52.205,,2026-08-25T11:00:02.391Z,2026-08-25T11:00:02.391Z,2026-08-25T11:00:02.391Z,
napthex4.com,emailfake-com-12aa8573,emailfake.com,emailfake.com,91.196.52.205,,2026-08-25T03:11:34.255Z,2026-08-25T00:00:01.735Z,2026-08-25T00:00:01.735Z,
niulaibulai.me,cleantempmail-com-d7deb99a,cleantempmail.com,mail.cleantempmail.com,138.226.240.26,,2026-08-25T03:11:49.568Z,2026-08-25T00:00:01.735Z,2026-08-25T00:00:01.735Z,
shaderobot.com,peaklima-com-8835bfe6,peaklima.com,peaklima.com,80.78.26.19,,2026-08-25T03:14:42.293Z,2026-08-25T00:00:01.735Z,2026-08-25T00:00:01.735Z,
solution.usewisetransfer.click,usewisetransfer-click-30ae14c8,usewisetransfer.click,mail.solution.usewisetransfer.click,77.237.235.246,2a02:c206:2239:9872::1,2026-08-25T11:00:02.391Z,2026-08-25T11:00:02.391Z,2026-08-25T11:00:02.391Z,
sparxautomationhub.store,generator-email-27002afd,generator.email,generator.email,91.196.52.205,,2026-08-25T11:00:02.391Z,2026-08-25T11:00:02.391Z,2026-08-25T11:00:02.391Z,
substoretools.store,generator-email-27002afd|tinyhost-shop-cb436a3f|hostinger-com-5120ed6e,generator.email|tinyhost.shop|hostinger.com,generator.email|mx1.hostinger.com|mx2.hostinger.com|tinyhost.shop,144.91.107.45|172.65.182.103|91.196.52.205,2606:4700:90:0:c1f8:f874:2386:b61f,2026-08-25T11:00:02.391Z,2026-08-25T11:00:02.391Z,2026-08-25T11:00:02.391Z,
till-westhof.de,netcup-net-bd8bb6d3|till-westhof-de-87dcef52,netcup.net|till-westhof.de,mail.till-westhof.de|mxf9a3.netcup.net,46.38.249.163,2a03:4000:0:276:b4c4:95ff:fe50:76a3,2026-08-25T03:16:08.328Z,2026-08-25T00:00:01.735Z,2026-08-25T00:00:01.735Z,
trysmarttraveller.click,trysmarttraveller-click-cefbf152,trysmarttraveller.click,mail.trysmarttraveller.click,77.237.235.246,2a02:c206:2239:9872::1,2026-08-25T11:00:02.391Z,2026-08-25T11:00:02.391Z,2026-08-25T11:00:02.391Z,
vfil.ru,blackhole-mx-579705ce,blackhole.mx,void.blackhole.mx,195.201.28.161|78.47.159.103|95.217.0.12,2a01:4f8:1c0c:54b0::2|2a01:4f8:1c17:4376::2|2a01:4f9:c010:2ce2::2,2026-08-25T03:17:08.286Z,2026-08-25T00:00:01.735Z,2026-08-25T00:00:01.735Z,
winz.my.id,generator-email-27002afd,generator.email,generator.email,91.196.52.205,,2026-08-25T11:00:02.391Z,2026-08-25T11:00:02.391Z,2026-08-25T11:00:02.391Z,
yanbex.ru,,,,,,,,,
yaoo.com.tw,h-email-net-2f9bd5ed,h-email.net,mail.h-email.net,162.55.164.116|165.227.156.49|165.227.159.144|167.235.143.33|178.62.199.248|49.13.4.90|5.161.194.135|5.161.98.212|5.75.171.74|91.107.214.206,,2026-08-25T11:00:02.391Z,2026-08-25T11:00:02.391Z,2026-08-25T11:00:02.391Z,
