domain,provider_slugs,provider_labels,mx_hosts,mx_ipv4,mx_ipv6,mx_resolved_at,first_seen_at,last_seen_at,last_enriched_at
365boxmail.com,generator-email-27002afd,generator.email,generator.email,91.196.52.205,,2026-05-25T11:00:02.411Z,2026-05-25T11:00:02.411Z,2026-05-25T11:00:02.411Z,
365boxmail.fyi,generator-email-27002afd,generator.email,generator.email,91.196.52.205,,2026-05-25T11:00:02.411Z,2026-05-25T11:00:02.411Z,2026-05-25T11:00:02.411Z,
baechecker.com,emailfake-com-12aa8573,emailfake.com,emailfake.com,91.196.52.205,,2026-05-25T11:00:02.411Z,2026-05-25T11:00:02.411Z,2026-05-25T11:00:02.411Z,
bakultelo.com,generator-email-27002afd,generator.email,generator.email,91.196.52.205,,2026-05-25T11:00:02.411Z,2026-05-25T11:00:02.411Z,2026-05-25T11:00:02.411Z,
binqe.anonbox.net,anonbox-net-b4af7437,anonbox.net,anonbox.net,185.106.84.103,,2026-05-25T11:00:02.411Z,2026-05-25T11:00:02.411Z,2026-05-25T11:00:02.411Z,
ceducolb.us,,,smtp.google.com,142.251.127.26|142.251.127.27,2a00:1450:400c:c0d::1a|2a00:1450:400c:c0d::1b|2a00:1450:400c:c1d::1a|2a00:1450:400c:c1d::1b,2026-05-25T11:00:02.411Z,2026-05-25T11:00:02.411Z,2026-05-25T11:00:02.411Z,
deepdreammail.com,deepdreammail-com-a5248adc,deepdreammail.com,mail.deepdreammail.com,5.230.123.239,,2026-05-25T11:00:02.411Z,2026-05-25T11:00:02.411Z,2026-05-25T11:00:02.411Z,
desimaubmw.biz.id,generator-email-27002afd,generator.email,generator.email,91.196.52.205,,2026-05-25T11:00:02.411Z,2026-05-25T11:00:02.411Z,2026-05-25T11:00:02.411Z,
paldo.my.id,generator-email-27002afd,generator.email,generator.email,91.196.52.205,,2026-05-25T11:00:02.411Z,2026-05-25T11:00:02.411Z,2026-05-25T11:00:02.411Z,
sigaret.biz.id,generator-email-27002afd,generator.email,generator.email,91.196.52.205,,2026-05-25T11:00:02.411Z,2026-05-25T11:00:02.411Z,2026-05-25T11:00:02.411Z,
supirembege.biz.id,generator-email-27002afd,generator.email,generator.email,91.196.52.205,,2026-05-25T11:00:02.411Z,2026-05-25T11:00:02.411Z,2026-05-25T11:00:02.411Z,
tranhunggg.tokyo,,,,,,,,,
tuandinhh.tokyo,,,,,,,,,
vntechhub.online,tempm-com-73087e3e,tempm.com,tempm.com,91.196.52.205,,2026-05-25T11:00:02.411Z,2026-05-25T11:00:02.411Z,2026-05-25T11:00:02.411Z,
