domain,provider_slugs,provider_labels,mx_hosts,mx_ipv4,mx_ipv6,mx_resolved_at,first_seen_at,last_seen_at,last_enriched_at
e.com,,,,,,,,,
hotmailt.com,h-email-net-2f9bd5ed,h-email.net,mail.h-email.net,162.55.164.116|165.227.156.49|165.227.159.144|167.235.143.33|178.62.199.248|49.13.4.90|5.161.194.135|5.161.98.212|5.75.171.74|91.107.214.206,,2026-09-19T03:08:07.330Z,2026-08-21T00:00:01.972Z,2026-09-19T00:00:02.104Z,2026-09-14T00:02:49.526Z
juhoele.com,263-net-676f1020,263.net,mx.263.net|mxw.263.net,107.150.117.76|128.1.42.104|128.14.224.70,,2026-09-19T03:09:10.654Z,2026-08-21T00:00:01.972Z,2026-09-19T00:00:02.104Z,2026-09-14T00:02:50.412Z
mer.ru,blackhole-mx-579705ce,blackhole.mx,void.blackhole.mx,195.201.28.161|78.47.159.103|95.217.0.12,2a01:4f8:1c0c:54b0::2|2a01:4f8:1c17:4376::2|2a01:4f9:c010:2ce2::2,2026-09-19T03:11:10.229Z,2026-08-21T00:00:01.972Z,2026-09-19T00:00:02.104Z,2026-09-14T00:02:52.032Z
merid.ru,blackhole-mx-579705ce,blackhole.mx,void.blackhole.mx,195.201.28.161|78.47.159.103|95.217.0.12,2a01:4f8:1c0c:54b0::2|2a01:4f8:1c17:4376::2|2a01:4f9:c010:2ce2::2,2026-09-19T03:11:10.356Z,2026-08-21T00:00:01.972Z,2026-09-19T00:00:02.104Z,2026-09-14T00:02:51.697Z
