slug,type,key,label,domain_count,source_domain_count,mx_hosts,mx_ipv4,mx_ipv6,first_seen_at,last_seen_at,last_enriched_at
blogranks-top-e925b976,mx_host,blogranks.top,blogranks.top,1,1,blogranks.top,45.136.19.174,,2026-06-16T11:00:01.498Z,2026-06-16T11:00:01.498Z,
cieszyn-pl-fe0b037e,mx_host,cieszyn.pl,cieszyn.pl,1,1,mail.amharow.cieszyn.pl,178.104.5.169,,2026-05-04T13:11:51.542Z,2026-06-16T00:00:01.537Z,2026-06-14T01:20:27.576Z
emblemail-com-56f437c9,mx_host,emblemail.com,emblemail.com,1,1,contact.emblemail.com,,,2026-05-04T13:11:51.542Z,2026-06-16T00:00:01.537Z,2026-06-14T04:40:37.026Z
gniezno-pl-b4782c36,mx_host,gniezno.pl,gniezno.pl,1,1,mail.anibym.gniezno.pl,178.104.5.169,,2026-05-04T13:11:51.542Z,2026-06-16T00:00:01.537Z,2026-06-14T01:23:30.653Z
pennwoods-net-cc67923a,mx_host,pennwoods.net,pennwoods.net,1,1,pennwoods.net,184.107.4.57,,2026-05-04T13:11:51.542Z,2026-06-16T00:00:01.537Z,2026-06-14T11:01:00.652Z
