domain,provider_slugs,provider_labels,mx_hosts,mx_ipv4,mx_ipv6,mx_resolved_at,first_seen_at,last_seen_at,last_enriched_at
aktifmuhendislik.com.tr,guzel-net-tr-b43519ca,guzel.net.tr,mt-spamexperts.guzel.net.tr|ni-spamexperts.guzel.net.tr,104.247.160.49|185.106.211.36,,2026-07-12T03:01:28.361Z,2026-06-13T00:00:01.988Z,2026-07-12T00:00:02.240Z,2026-07-07T00:25:25.657Z
bo.ru,blackhole-mx-579705ce,blackhole.mx,void.blackhole.mx,195.201.28.161|78.47.159.103|95.217.0.12,2a01:4f8:1c0c:54b0::2|2a01:4f8:1c17:4376::2|2a01:4f9:c010:2ce2::2,2026-07-12T03:02:34.990Z,2026-06-04T00:00:01.971Z,2026-07-12T00:00:02.240Z,2026-07-06T00:00:30.815Z
boos.ru,blackhole-mx-579705ce,blackhole.mx,void.blackhole.mx,195.201.28.161|78.47.159.103|95.217.0.12,2a01:4f8:1c0c:54b0::2|2a01:4f8:1c17:4376::2|2a01:4f9:c010:2ce2::2,2026-07-12T03:02:40.792Z,2026-06-13T00:00:01.988Z,2026-07-12T00:00:02.240Z,2026-07-07T00:25:29.679Z
gamil.ru,blackhole-mx-579705ce,blackhole.mx,void.blackhole.mx,195.201.28.161|78.47.159.103|95.217.0.12,2a01:4f8:1c0c:54b0::2|2a01:4f8:1c17:4376::2|2a01:4f9:c010:2ce2::2,2026-07-12T03:06:08.694Z,2026-06-13T00:00:01.988Z,2026-07-12T00:00:02.240Z,2026-07-07T00:25:30.599Z
lits.ru,blackhole-mx-579705ce,blackhole.mx,void.blackhole.mx,195.201.28.161|78.47.159.103|95.217.0.12,2a01:4f8:1c0c:54b0::2|2a01:4f8:1c17:4376::2|2a01:4f9:c010:2ce2::2,2026-07-12T03:09:17.765Z,2026-06-13T00:00:01.988Z,2026-07-12T00:00:02.240Z,2026-07-07T00:25:30.607Z
maail.ru,blackhole-mx-579705ce,blackhole.mx,void.blackhole.mx,195.201.28.161|78.47.159.103|95.217.0.12,2a01:4f8:1c0c:54b0::2|2a01:4f8:1c17:4376::2|2a01:4f9:c010:2ce2::2,2026-07-12T03:09:38.117Z,2026-06-13T00:00:01.988Z,2026-07-12T00:00:02.240Z,2026-07-07T00:25:31.154Z
maei.ru,blackhole-mx-579705ce,blackhole.mx,void.blackhole.mx,195.201.28.161|78.47.159.103|95.217.0.12,2a01:4f8:1c0c:54b0::2|2a01:4f8:1c17:4376::2|2a01:4f9:c010:2ce2::2,2026-07-12T03:09:38.528Z,2026-06-13T00:00:01.988Z,2026-07-12T00:00:02.240Z,2026-07-07T00:25:31.573Z
maim.ru,blackhole-mx-579705ce,blackhole.mx,void.blackhole.mx,195.201.28.161|78.47.159.103|95.217.0.12,2a01:4f8:1c0c:54b0::2|2a01:4f8:1c17:4376::2|2a01:4f9:c010:2ce2::2,2026-07-12T03:10:00.938Z,2026-06-13T00:00:01.988Z,2026-07-12T00:00:02.240Z,2026-07-07T00:25:31.075Z
maol.ru,blackhole-mx-579705ce,blackhole.mx,void.blackhole.mx,195.201.28.161|78.47.159.103|95.217.0.12,2a01:4f8:1c0c:54b0::2|2a01:4f8:1c17:4376::2|2a01:4f9:c010:2ce2::2,2026-07-12T03:10:07.082Z,2026-06-04T00:00:01.971Z,2026-07-12T00:00:02.240Z,2026-07-06T00:00:38.607Z
qqw.ru,blackhole-mx-579705ce,blackhole.mx,void.blackhole.mx,195.201.28.161|78.47.159.103|95.217.0.12,2a01:4f8:1c0c:54b0::2|2a01:4f8:1c17:4376::2|2a01:4f9:c010:2ce2::2,2026-07-12T03:13:02.354Z,2026-06-13T00:00:01.988Z,2026-07-12T00:00:02.240Z,2026-07-07T00:25:32.078Z
zenlambda.net,sparkblink-org-cfc499ef,sparkblink.org,sparkblink.org,80.78.31.45,,2026-07-12T03:18:07.217Z,2026-06-13T00:00:01.988Z,2026-07-12T00:00:02.240Z,2026-07-07T00:25:33.993Z
