domain,provider_slugs,provider_labels,mx_hosts,mx_ipv4,mx_ipv6,mx_resolved_at,first_seen_at,last_seen_at,last_enriched_at
0-00.usa.cc,,,,,,2026-07-23T11:00:01.849Z,2026-05-04T11:50:42.956Z,2026-07-23T00:00:01.588Z,2026-07-16T00:00:23.545Z
0-30-24.com,,,alt1.aspmx.l.google.com|alt2.aspmx.l.google.com|alt3.aspmx.l.google.com|alt4.aspmx.l.google.com|aspmx.l.google.com,142.250.147.26|142.251.127.26|172.253.152.27|192.178.158.26|192.178.211.27,2404:6800:4000:1025::1b|2404:6800:4013:813::1b|2a00:1450:4001:c21::1b|2a00:1450:4010:c22::1a|2a00:1450:4025:c01::1a,2026-07-23T03:00:02.824Z,2026-05-04T11:50:42.956Z,2026-07-23T00:00:01.588Z,2026-07-16T00:00:22.959Z
0-archive.zip,,,route1.mx.cloudflare.net|route2.mx.cloudflare.net|route3.mx.cloudflare.net,162.159.205.11|162.159.205.12|162.159.205.13|162.159.205.17|162.159.205.18|162.159.205.19|162.159.205.23|162.159.205.24|162.159.205.25,2606:4700:f5::10|2606:4700:f5::11|2606:4700:f5::12|2606:4700:f5::13|2606:4700:f5::b|2606:4700:f5::c|2606:4700:f5::d|2606:4700:f5::e|2606:4700:f5::f,2026-07-23T03:00:02.824Z,2026-05-04T11:50:42.956Z,2026-07-23T00:00:01.588Z,2026-07-16T00:00:24.329Z
0-attorney.com,,,,,,2026-07-23T11:00:01.849Z,2026-05-04T11:50:42.956Z,2026-07-23T00:00:01.588Z,2026-07-16T00:00:23.927Z
0-mail.com,above-com-664fdf8f,above.com,park-mx.above.com,103.224.212.34,,2026-07-23T03:00:02.824Z,2026-05-04T11:50:42.956Z,2026-07-23T00:00:01.588Z,2026-07-16T00:00:24.814Z
0-mailer.dynv6.net,dynv6-net-9cee5e66,dynv6.net,email.chatgpt.org.uk.0-mailer.dynv6.net,,,2026-07-23T03:00:02.824Z,2026-06-06T00:00:01.585Z,2026-07-23T00:00:01.588Z,2026-07-16T15:37:18.818Z
00-tv.com,,,,,,2026-07-23T11:00:01.849Z,2026-05-04T11:50:42.956Z,2026-07-23T00:00:01.588Z,2026-07-16T00:00:26.547Z
00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.gm.dnsabr.com,,,,,,2026-07-23T11:00:01.849Z,2026-05-04T11:50:42.956Z,2026-07-23T00:00:01.588Z,2026-07-16T00:00:27.196Z
00.msk.ru,,,,,,2026-07-23T11:00:01.849Z,2026-05-04T11:50:42.956Z,2026-07-23T00:00:01.588Z,2026-07-16T00:00:27.310Z
00.pe,mailinator-com-3e7996f1,mailinator.com,mail.mailinator.com,23.239.11.30,,2026-07-23T03:00:02.825Z,2026-05-04T11:50:42.956Z,2026-07-23T00:00:01.588Z,2026-07-16T00:00:28.309Z
000-webmail.myhome-server.de,chatgpt-org-uk-1f2f6de7,chatgpt.org.uk,email.chatgpt.org.uk,158.101.127.66,,2026-07-23T03:00:02.825Z,2026-06-18T11:00:02.178Z,2026-07-23T00:00:01.588Z,2026-07-21T00:01:48.844Z
00000000000.pro,,,,,,2026-07-23T11:00:01.849Z,2026-05-04T11:50:42.956Z,2026-07-23T00:00:01.588Z,2026-07-16T00:00:28.131Z
000000000000000.theworkpc.com,chatgpt-org-uk-1f2f6de7,chatgpt.org.uk,email.chatgpt.org.uk,158.101.127.66,,2026-07-23T03:00:02.825Z,2026-06-06T00:00:01.585Z,2026-07-23T00:00:01.588Z,2026-07-16T15:37:21.288Z
000000000000000000.dynv6.net,chatgpt-org-uk-1f2f6de7,chatgpt.org.uk,email.chatgpt.org.uk,158.101.127.66,,2026-07-23T03:00:02.825Z,2026-06-06T00:00:01.585Z,2026-07-23T00:00:01.588Z,2026-07-16T15:37:19.861Z
0000287.xyz,simplelogin-co-441cb09f,simplelogin.co,mx1.simplelogin.co|mx2.simplelogin.co,176.119.200.136|185.205.70.136,,2026-07-23T03:00:02.825Z,2026-06-04T11:00:02.467Z,2026-07-23T00:00:01.588Z,2026-07-23T00:00:24.277Z
000777.info,,,,,,2026-07-23T11:00:01.849Z,2026-05-04T11:50:42.956Z,2026-07-23T00:00:01.588Z,2026-07-16T00:00:30.125Z
000801.xyz,000801-xyz-a83b562f,000801.xyz,mx.000801.xyz,38.55.97.7,,2026-07-23T03:00:02.825Z,2026-05-04T11:50:42.956Z,2026-07-23T00:00:01.588Z,2026-07-16T00:00:29.049Z
00082cc.com,,,,,,2026-07-23T11:00:01.849Z,2026-05-04T11:50:42.956Z,2026-07-23T00:00:01.588Z,2026-07-16T00:00:30.467Z
000email.com,,,,,,2026-07-23T11:00:01.849Z,2026-05-04T11:50:42.956Z,2026-07-23T00:00:01.588Z,2026-07-16T00:00:30.489Z
000invaliddomain.local,,,,,,2026-07-23T11:00:01.849Z,2026-05-04T11:50:42.956Z,2026-07-23T00:00:01.588Z,2026-07-16T00:00:31.058Z
000webmail.ddnss.de,chatgpt-org-uk-1f2f6de7,chatgpt.org.uk,email.chatgpt.org.uk,158.101.127.66,,2026-07-23T03:00:02.825Z,2026-06-06T00:00:01.585Z,2026-07-23T00:00:01.588Z,2026-07-16T15:37:20.688Z
000webmail.ddnss.org,chatgpt-org-uk-1f2f6de7,chatgpt.org.uk,email.chatgpt.org.uk,158.101.127.66,,2026-07-23T03:00:02.826Z,2026-06-18T11:00:02.178Z,2026-07-23T00:00:01.588Z,2026-07-21T00:01:51.803Z
000webmail.dyn-ip24.de,chatgpt-org-uk-1f2f6de7,chatgpt.org.uk,email.chatgpt.org.uk,158.101.127.66,,2026-07-23T03:00:02.826Z,2026-06-18T11:00:02.178Z,2026-07-23T00:00:01.588Z,2026-07-21T00:01:52.112Z
000webmail.dyn.ddnss.de,chatgpt-org-uk-1f2f6de7,chatgpt.org.uk,email.chatgpt.org.uk,158.101.127.66,,2026-07-23T03:00:02.826Z,2026-06-18T11:00:02.178Z,2026-07-23T00:00:01.588Z,2026-07-21T00:01:51.305Z
000webmail.dyn.home-webserver.de,chatgpt-org-uk-1f2f6de7,chatgpt.org.uk,email.chatgpt.org.uk,158.101.127.66,,2026-07-23T03:00:02.826Z,2026-06-18T11:00:02.178Z,2026-07-23T00:00:01.588Z,2026-07-21T00:01:52.424Z
000webmail.dyndns.ddnss.de,chatgpt-org-uk-1f2f6de7,chatgpt.org.uk,email.chatgpt.org.uk,158.101.127.66,,2026-07-23T03:00:02.916Z,2026-06-18T11:00:02.178Z,2026-07-23T00:00:01.588Z,2026-07-21T00:01:52.116Z
000webmail.dyndns1.de,chatgpt-org-uk-1f2f6de7,chatgpt.org.uk,email.chatgpt.org.uk,158.101.127.66,,2026-07-23T03:00:02.966Z,2026-06-18T11:00:02.178Z,2026-07-23T00:00:01.588Z,2026-07-21T00:01:52.745Z
000webmail.home-webserver.de,chatgpt-org-uk-1f2f6de7,chatgpt.org.uk,email.chatgpt.org.uk,158.101.127.66,,2026-07-23T03:00:02.986Z,2026-06-18T11:00:02.178Z,2026-07-23T00:00:01.588Z,2026-07-21T00:01:52.418Z
001.igg.biz,,,,,,2026-07-23T11:00:01.849Z,2026-05-04T11:50:42.956Z,2026-07-23T00:00:01.588Z,2026-07-16T00:00:31.632Z
001315.xyz,,,route1.mx.cloudflare.net|route2.mx.cloudflare.net|route3.mx.cloudflare.net,162.159.205.11|162.159.205.12|162.159.205.13|162.159.205.17|162.159.205.18|162.159.205.19|162.159.205.23|162.159.205.24|162.159.205.25,2606:4700:f5::10|2606:4700:f5::11|2606:4700:f5::12|2606:4700:f5::13|2606:4700:f5::b|2606:4700:f5::c|2606:4700:f5::d|2606:4700:f5::e|2606:4700:f5::f,2026-07-23T03:00:02.986Z,2026-05-04T11:50:42.956Z,2026-07-23T00:00:01.588Z,2026-07-16T00:00:32.056Z
001316.xyz,,,route1.mx.cloudflare.net|route2.mx.cloudflare.net|route3.mx.cloudflare.net,162.159.205.11|162.159.205.12|162.159.205.13|162.159.205.17|162.159.205.18|162.159.205.19|162.159.205.23|162.159.205.24|162.159.205.25,2606:4700:f5::10|2606:4700:f5::11|2606:4700:f5::12|2606:4700:f5::13|2606:4700:f5::b|2606:4700:f5::c|2606:4700:f5::d|2606:4700:f5::e|2606:4700:f5::f,2026-07-23T03:00:02.986Z,2026-05-04T11:50:42.956Z,2026-07-23T00:00:01.588Z,2026-07-16T00:00:32.134Z
001gmail.com,stememail-com-a3470ea6|stememail-net-cda1f73f,stememail.com|stememail.net,aero4.stememail.com|mail4.stememail.net,165.22.195.184|64.227.4.13,,2026-07-23T03:00:02.986Z,2026-05-04T11:50:42.956Z,2026-07-23T00:00:01.588Z,2026-07-16T00:00:32.615Z
002.onl,,,route1.mx.cloudflare.net|route2.mx.cloudflare.net|route3.mx.cloudflare.net,162.159.205.11|162.159.205.12|162.159.205.13|162.159.205.17|162.159.205.18|162.159.205.19|162.159.205.23|162.159.205.24|162.159.205.25,2606:4700:f5::10|2606:4700:f5::11|2606:4700:f5::12|2606:4700:f5::13|2606:4700:f5::b|2606:4700:f5::c|2606:4700:f5::d|2606:4700:f5::e|2606:4700:f5::f,2026-07-23T03:00:02.986Z,2026-05-04T11:50:42.956Z,2026-07-23T00:00:01.588Z,2026-07-16T00:00:32.918Z
002gmail.com,stememail-com-a3470ea6|stememail-net-cda1f73f,stememail.com|stememail.net,aero4.stememail.com|mail4.stememail.net,165.22.195.184|64.227.4.13,,2026-07-23T03:00:03.007Z,2026-05-04T11:50:42.956Z,2026-07-23T00:00:01.588Z,2026-07-16T00:00:33.253Z
002r.com,,,,,,2026-07-23T11:00:01.849Z,2026-05-04T11:50:42.956Z,2026-07-23T00:00:01.588Z,2026-07-16T00:00:33.251Z
002t.com,,,,,,2026-07-23T11:00:01.849Z,2026-05-04T11:50:42.956Z,2026-07-23T00:00:01.588Z,2026-07-16T00:00:33.658Z
003271.com,,,,,,2026-07-23T11:00:01.849Z,2026-05-04T11:50:42.956Z,2026-07-23T00:00:01.588Z,2026-07-16T00:00:33.689Z
0033.pl,,,,,,2026-07-23T11:00:01.849Z,2026-05-04T11:50:42.956Z,2026-07-23T00:00:01.588Z,2026-07-16T00:00:34.567Z
0039.cf,,,,,,2026-07-23T11:00:01.849Z,2026-05-04T11:50:42.956Z,2026-07-23T00:00:01.588Z,2026-07-16T00:00:34.332Z
0039.ga,,,,,,2026-07-23T11:00:01.849Z,2026-05-04T11:50:42.956Z,2026-07-23T00:00:01.588Z,2026-07-16T00:00:35.170Z
