slug,type,key,label,domain_count,source_domain_count,mx_hosts,mx_ipv4,mx_ipv6,first_seen_at,last_seen_at,last_enriched_at
3kk43-com-1f0b34e7,mx_host,3kk43.com,3kk43.com,1,1,3kk43.com,178.16.137.126,,2026-05-04T13:11:51.542Z,2026-05-23T00:00:01.531Z,2026-05-21T00:23:33.850Z
ace-mail-net-24aa1a89,mx_host,ace-mail.net,ace-mail.net,1,1,ace-mail.net,178.16.137.126,,2026-05-04T13:11:51.542Z,2026-05-23T00:00:01.531Z,2026-05-21T00:57:17.520Z
artisanbooth-com-1e97bc71,mx_host,artisanbooth.com,artisanbooth.com,1,1,mail.artisanbooth.com,132.148.248.69,,2026-05-04T13:11:51.542Z,2026-05-23T00:00:01.531Z,2026-05-21T01:26:09.352Z
axfra-net-67a4d203,mx_host,axfra.net,axfra.net,1,1,mx1.fff.vg|mx2.fff.vg|web-lax-1.axfra.net,185.45.195.249,,2026-05-04T13:11:51.542Z,2026-05-23T00:00:01.531Z,2026-05-21T00:01:52.313Z
freehosting-com-81fcdb1b,mx_host,freehosting.com,freehosting.com,1,1,panel.freehosting.com,195.201.9.76,2a01:4f8:13b:ecb::2,2026-05-04T13:11:51.542Z,2026-05-23T00:00:01.531Z,2026-05-21T00:13:47.371Z
mos-kwa-ru-e85fc940,mx_host,mos-kwa.ru,mos-kwa.ru,1,1,mail.mos-kwa.ru,89.108.70.166,2a00:f940:2:4:2::1217,2026-05-04T13:11:51.542Z,2026-05-23T00:00:01.531Z,2026-05-21T08:33:46.593Z
qmoil-com-8f2ba86c,mx_host,qmoil.com,qmoil.com,1,1,qmoil.com,95.216.18.121,,2026-05-04T13:11:51.542Z,2026-05-23T00:00:01.531Z,2026-05-21T10:17:58.529Z
tampaquote-com-3a1ed660,mx_host,tampaquote.com,tampaquote.com,1,1,contact.tampaquote.com,192.142.26.47,,2026-05-04T13:11:51.542Z,2026-05-23T00:00:01.531Z,2026-05-21T11:57:14.273Z
v-kv-com-e5d1898a,mx_host,v-kv.com,v-kv.com,1,1,mail.v-kv.com,1.1.1.1,,2026-05-04T13:11:51.542Z,2026-05-23T00:00:01.531Z,2026-05-21T12:55:25.504Z
