domain,provider_slugs,provider_labels,mx_hosts,mx_ipv4,mx_ipv6,mx_resolved_at,first_seen_at,last_seen_at,last_enriched_at
boxmail1.name,generator-email-27002afd,generator.email,generator.email,91.196.52.205,,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,
bsubd.anonbox.net,anonbox-net-b4af7437,anonbox.net,anonbox.net,185.106.84.103,,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,
cappcut.web.id,generator-email-27002afd,generator.email,generator.email,91.196.52.205,,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,
captpro.biz.id,,,,,,,,,
clearhabitpath.com,emailfake-com-12aa8573,emailfake.com,emailfake.com,91.196.52.205,,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,
clearpathblog.com,emailfake-com-12aa8573,emailfake.com,emailfake.com,91.196.52.205,,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,
dlinmdrivelity.com,,,,,,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,
dridicmoroccoitn.com,,,,,,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,
drivedrivelitn.com,,,,,,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,
easyplainlife.com,emailfake-com-12aa8573,emailfake.com,emailfake.com,91.196.52.205,,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,
easyreadnow.com,emailfake-com-12aa8573,emailfake.com,emailfake.com,91.196.52.205,,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,
eiabee.uno,generator-email-27002afd|improvmx-com-c3beaa99,generator.email|improvmx.com,generator.email|mx1.improvmx.com|mx2.improvmx.com,13.36.107.63|13.36.222.39|13.37.195.136|15.236.236.160|15.236.61.92|35.181.18.45|91.196.52.205,2a05:d012:412:e201:1f6e:f6e4:8fd7:4678|2a05:d012:412:e201:88aa:e7b9:7a43:12d7|2a05:d012:412:e202:e81e:cc44:3b53:8a3d|2a05:d012:412:e202:f36:2c1f:1a49:d38a|2a05:d012:412:e203:373a:f51a:4a85:1d25|2a05:d012:412:e203:7e33:3d9c:28d7:ee20,2026-05-28T03:05:22.806Z,2026-05-28T00:00:01.997Z,2026-05-28T00:00:01.997Z,2026-05-28T00:00:25.662Z
eskulkulowi.biz.id,generator-email-27002afd,generator.email,generator.email,91.196.52.205,,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,
frdsensor.com,netease-com-2d6585a6,netease.com,hzmx01.mxmail.netease.com|hzmx02.mxmail.netease.com,8.209.70.223|8.209.88.255,,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,
gefwvvwegflen.com,,,,,,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,
gkhsch.us,,,smtp.google.com,142.251.127.27|64.233.167.27|64.233.184.27|66.102.1.26|66.102.1.27,2a00:1450:400c:c0d::1a|2a00:1450:400c:c0d::1b|2a00:1450:400c:c1b::1a|2a00:1450:400c:c1d::1a,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,
goodmail.my.id,generator-email-27002afd,generator.email,generator.email,91.196.52.205,,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,
hi-baby.ru,beget-com-b5170b36,beget.com,mx1.beget.com|mx2.beget.com,185.78.30.126|185.78.30.48|185.78.30.71|185.78.30.95|5.101.158.67|5.101.158.68,,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,
inspirahubnet.com,emailfake-com-12aa8573,emailfake.com,emailfake.com,91.196.52.205,,2026-05-28T03:07:57.869Z,2026-05-28T00:00:01.997Z,2026-05-28T00:00:01.997Z,2026-05-28T00:00:31.432Z
kaptencpl.com,generator-email-27002afd,generator.email,generator.email,91.196.52.205,,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,
komandir057.ru,beget-com-b5170b36,beget.com,mx1.beget.com|mx2.beget.com,185.78.30.126|185.78.30.48|185.78.30.71|185.78.30.95|5.101.158.67|5.101.158.68,,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,
lbz3m.anonbox.net,anonbox-net-b4af7437,anonbox.net,anonbox.net,185.106.84.103,,2026-05-28T03:09:03.847Z,2026-05-27T11:00:02.144Z,2026-05-28T00:00:01.997Z,2026-05-28T00:00:18.948Z
lexaastore.my.id,generator-email-27002afd,generator.email,generator.email,91.196.52.205,,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,
mataramshop.web.id,generator-email-27002afd,generator.email,generator.email,91.196.52.205,,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,
miajangler.web.id,generator-email-27002afd,generator.email,generator.email,91.196.52.205,,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,
morocz.biz.id,,,generator.email|route1.mx.cloudflare.net|route2.mx.cloudflare.net|route3.mx.cloudflare.net,162.159.205.11|162.159.205.12|162.159.205.13|162.159.205.17|162.159.205.18|162.159.205.19|162.159.205.23|162.159.205.24|162.159.205.25|91.196.52.205,2606:4700:f5::10|2606:4700:f5::11|2606:4700:f5::12|2606:4700:f5::13|2606:4700:f5::b|2606:4700:f5::c|2606:4700:f5::d|2606:4700:f5::e|2606:4700:f5::f,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,
mylooow.my.id,generator-email-27002afd,generator.email,generator.email,91.196.52.205,,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,
passeone.com,generator-email-27002afd,generator.email,generator.email,91.196.52.205,,2026-05-28T03:11:39.704Z,2026-05-27T11:00:02.144Z,2026-05-28T00:00:01.997Z,2026-05-28T00:00:18.956Z
prettymailhost.com,prettymailhost-com-6b9b5a6a,prettymailhost.com,mail.prettymailhost.com,38.180.0.175,,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,
riad-store.biz.id,generator-email-27002afd,generator.email,generator.email,91.196.52.205,,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,
riadstoregpt.web.id,generator-email-27002afd,generator.email,generator.email,91.196.52.205,,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,
student.ooguy.com,tempm-com-73087e3e,tempm.com,tempm.com,91.196.52.205,,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,
timothy.web.id,generator-email-27002afd,generator.email,generator.email,91.196.52.205,,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,
xxvd.net,generator-email-27002afd,generator.email,generator.email,91.196.52.205,,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,2026-05-28T11:00:02.046Z,
