domain,provider_slugs,provider_labels,mx_hosts,mx_ipv4,mx_ipv6,mx_resolved_at,first_seen_at,last_seen_at,last_enriched_at
gmailq.com,h-email-net-2f9bd5ed,h-email.net,mail.h-email.net,162.55.164.116|165.227.156.49|165.227.159.144|167.235.143.33|178.62.199.248|49.13.4.90|5.161.194.135|5.161.98.212|5.75.171.74|91.107.214.206,,2026-08-22T03:08:13.223Z,2026-08-06T00:00:01.467Z,2026-08-22T00:00:02.138Z,2026-08-22T00:18:12.704Z
gollee.com,263-net-676f1020,263.net,mx.263.net|mxw.263.net,107.150.117.76|128.1.42.104|128.14.224.70,,2026-08-22T03:08:21.280Z,2026-08-06T00:00:01.467Z,2026-08-22T00:00:02.138Z,2026-08-22T00:18:25.989Z
nsar.ru,blackhole-mx-579705ce,blackhole.mx,void.blackhole.mx,195.201.28.161|78.47.159.103|95.217.0.12,2a01:4f8:1c0c:54b0::2|2a01:4f8:1c17:4376::2|2a01:4f9:c010:2ce2::2,2026-08-22T03:14:29.607Z,2026-08-06T00:00:01.467Z,2026-08-22T00:00:02.138Z,2026-08-22T00:30:58.403Z
sar.ru,,,,,,2026-08-22T11:00:01.732Z,2026-08-06T00:00:01.467Z,2026-08-22T00:00:02.138Z,2026-08-22T00:37:25.681Z
sot.ru,blackhole-mx-579705ce,blackhole.mx,void.blackhole.mx,195.201.28.161|78.47.159.103|95.217.0.12,2a01:4f8:1c0c:54b0::2|2a01:4f8:1c17:4376::2|2a01:4f9:c010:2ce2::2,2026-08-22T03:17:38.413Z,2026-08-06T00:00:01.467Z,2026-08-22T00:00:02.138Z,2026-08-22T00:38:40.225Z
soter.ru,blackhole-mx-579705ce,blackhole.mx,void.blackhole.mx,195.201.28.161|78.47.159.103|95.217.0.12,2a01:4f8:1c0c:54b0::2|2a01:4f8:1c17:4376::2|2a01:4f9:c010:2ce2::2,2026-08-22T03:17:38.420Z,2026-08-06T00:00:01.467Z,2026-08-22T00:00:02.138Z,2026-08-22T00:38:40.645Z
