domain,provider_slugs,provider_labels,mx_hosts,mx_ipv4,mx_ipv6,mx_resolved_at,first_seen_at,last_seen_at,last_enriched_at
axgrad.io,emailfake-com-12aa8573,emailfake.com,emailfake.com,91.196.52.205,,2026-08-23T03:02:15.006Z,2026-08-23T00:00:02.414Z,2026-08-23T00:00:02.414Z,2026-08-23T00:22:07.979Z
centerzeta.com,centerzeta-com-375e183c,centerzeta.com,centerzeta.com,185.193.125.221,,2026-08-23T03:03:48.509Z,2026-08-23T00:00:02.414Z,2026-08-23T00:00:02.414Z,2026-08-23T00:22:07.704Z
cnepen.cn,263-net-676f1020,263.net,mx.263.net|mxw.263.net,107.150.117.76|128.1.42.104|128.14.224.70,,2026-08-23T03:04:03.152Z,2026-08-23T00:00:02.414Z,2026-08-23T00:00:02.414Z,2026-08-23T00:22:09.036Z
dgprime.ru,nic-ru-b8a8c5f2,nic.ru,nomail.nic.ru,127.0.0.1,,2026-08-23T03:04:47.795Z,2026-08-23T00:00:02.414Z,2026-08-23T00:00:02.414Z,2026-08-23T00:22:08.438Z
hotmailtrusted.com,emailfake-com-12aa8573,emailfake.com,emailfake.com,91.196.52.205,,2026-08-23T03:08:03.805Z,2026-08-23T00:00:02.414Z,2026-08-23T00:00:02.414Z,2026-08-23T00:22:09.335Z
jiasheng-china.com,263-net-676f1020,263.net,mx.263.net|mxw.263.net,107.150.117.76|128.1.42.104|128.14.224.70,,2026-08-23T03:08:51.696Z,2026-08-23T00:00:02.414Z,2026-08-23T00:00:02.414Z,2026-08-23T00:22:09.613Z
kug.ru,blackhole-mx-579705ce,blackhole.mx,void.blackhole.mx,195.201.28.161|78.47.159.103|95.217.0.12,2a01:4f8:1c0c:54b0::2|2a01:4f8:1c17:4376::2|2a01:4f9:c010:2ce2::2,2026-08-23T03:09:35.434Z,2026-08-23T00:00:02.414Z,2026-08-23T00:00:02.414Z,2026-08-23T00:22:10.035Z
mailold.us,emailfake-com-12aa8573,emailfake.com,emailfake.com,91.196.52.205,,2026-08-23T03:10:36.559Z,2026-08-23T00:00:02.414Z,2026-08-23T00:00:02.414Z,2026-08-23T00:22:10.267Z
navura.in,generator-email-27002afd|zoho-in-ad4f48fc,generator.email|zoho.in,generator.email|mx.zoho.in|mx2.zoho.in|mx3.zoho.in,103.103.196.235|169.148.146.168|169.148.149.118|91.196.52.205,,2026-08-23T11:00:02.255Z,2026-08-23T11:00:02.255Z,2026-08-23T11:00:02.255Z,
nttoadmin2.us,emailfake-com-12aa8573,emailfake.com,emailfake.com,91.196.52.205,,2026-08-23T03:11:59.146Z,2026-08-23T00:00:02.414Z,2026-08-23T00:00:02.414Z,2026-08-23T00:22:10.988Z
ohszt.anonbox.net,anonbox-net-b4af7437,anonbox.net,anonbox.net,185.106.84.103,,2026-08-23T11:00:02.255Z,2026-08-23T11:00:02.255Z,2026-08-23T11:00:02.255Z,
popak.work.gd,,,,,,2026-08-23T11:00:02.255Z,2026-05-04T13:11:51.542Z,2026-08-23T00:00:02.414Z,2026-08-17T11:49:39.177Z
shopvpn.uk,generator-email-27002afd,generator.email,generator.email,91.196.52.205,,2026-08-23T11:00:02.255Z,2026-08-23T11:00:02.255Z,2026-08-23T11:00:02.255Z,
warpzen.net,centerzeta-com-375e183c,centerzeta.com,centerzeta.com,185.193.125.221,,2026-08-23T03:17:23.121Z,2026-08-23T00:00:02.414Z,2026-08-23T00:00:02.414Z,2026-08-23T00:22:11.568Z
xeovo.ru,generator-email-27002afd,generator.email,generator.email,91.196.52.205,,2026-08-23T11:00:02.255Z,2026-08-23T11:00:02.255Z,2026-08-23T11:00:02.255Z,
