domain,provider_slugs,provider_labels,mx_hosts,mx_ipv4,mx_ipv6,mx_resolved_at,first_seen_at,last_seen_at,last_enriched_at
desmoinesartcenter.org,,,desmoinesartcenter-org.mail.protection.outlook.com|dummy0.junkemailfilter.com|dummy1.junkemailfilter.com|mx.junkemailfilter.com|mx.junkemailfilter.net|mx.junkemailfilter.org,184.105.182.185|184.105.182.215|184.105.182.216|184.105.182.217|184.105.182.225|184.105.182.226|184.105.182.227|184.105.182.40|184.105.182.41|52.101.40.2|52.101.41.24|52.101.41.58|52.101.50.13,2a01:111:f403:c927::1|2a01:111:f403:c946::2|2a01:111:f403:c946::4|2a01:111:f403:f907::1,2026-07-11T03:04:42.672Z,2026-06-04T00:00:01.971Z,2026-07-11T00:00:01.746Z,2026-07-06T00:00:31.695Z
fuerda-china.com,263-net-676f1020,263.net,mx.263.net|mxw.263.net,107.150.117.76|128.1.42.104|128.14.224.70,,2026-07-11T03:06:36.095Z,2026-06-04T00:00:01.971Z,2026-07-11T00:00:01.746Z,2026-07-06T00:00:33.511Z
yandxe.ru,blackhole-mx-579705ce,blackhole.mx,void.blackhole.mx,195.201.28.161|78.47.159.103|95.217.0.12,2a01:4f8:1c0c:54b0::2|2a01:4f8:1c17:4376::2|2a01:4f9:c010:2ce2::2,2026-07-11T03:18:33.292Z,2026-06-11T11:00:01.973Z,2026-07-11T00:00:01.746Z,2026-07-06T00:00:44.788Z
