domain,provider_slugs,provider_labels,mx_hosts,mx_ipv4,mx_ipv6,mx_resolved_at,first_seen_at,last_seen_at,last_enriched_at
99percentwork.com,99percentwork-com-c47ccaf1,99percentwork.com,mail.99percentwork.com,161.97.80.106,,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
a.chqtgpt.id,generator-email-27002afd,generator.email,generator.email,91.196.52.205,,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
amadorcountyproperties.com,,,,,,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
asav.site,generator-email-27002afd,generator.email,generator.email,91.196.52.205,,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
aubj.kelasi.my.id,generator-email-27002afd,generator.email,generator.email,91.196.52.205,,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
awfucex.net,generator-email-27002afd,generator.email,generator.email,91.196.52.205,,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
azhhi.org,,,smtp.google.com,108.177.15.27|64.233.166.27|64.233.184.27|66.102.1.26|66.102.1.27,2a00:1450:400c:c06::1a|2a00:1450:400c:c09::1a|2a00:1450:400c:c0b::1a|2a00:1450:400c:c0c::1a,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
buduh.biz.id,generator-email-27002afd,generator.email,generator.email,91.196.52.205,,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
byth57d.online,emailfake-com-12aa8573,emailfake.com,emailfake.com,91.196.52.205,,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
capcutpr0.biz.id,generator-email-27002afd,generator.email,generator.email,91.196.52.205,,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
coledu.us,,,smtp.google.com,108.177.15.27|64.233.166.27|64.233.184.27|66.102.1.26|66.102.1.27,2a00:1450:400c:c06::1a|2a00:1450:400c:c09::1a|2a00:1450:400c:c0b::1a|2a00:1450:400c:c0c::1a,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
dipzstore.net,generator-email-27002afd,generator.email,generator.email,91.196.52.205,,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
drivgreeitn.com,,,,,,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
edceco.us,,,smtp.google.com,108.177.15.27|64.233.166.27|64.233.184.27|66.102.1.26|66.102.1.27,2a00:1450:400c:c06::1a|2a00:1450:400c:c09::1a|2a00:1450:400c:c0b::1a|2a00:1450:400c:c0c::1a,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
edumaili.com,edumaili-com-e78f1668,edumaili.com,mail.edumaili.com,104.247.161.194,,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
edumaili.edu.pl,edumaili-com-e78f1668,edumaili.com,mail.edumaili.com,104.247.161.194,,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
edumaill.edu.pl,edumaili-com-e78f1668,edumaili.com,mail.edumaili.com,104.247.161.194,,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
en.banglatip.com,priyomail-net-3b4650c1,priyomail.net,gr.priyomail.net,162.55.238.165,2a01:4f8:271:4023::2,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
en.cmail.asia,priyomail-net-3b4650c1,priyomail.net,gr.priyomail.net,162.55.238.165,2a01:4f8:271:4023::2,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
en.iplv.ovh,priyomail-net-3b4650c1,priyomail.net,gr.priyomail.net,162.55.238.165,2a01:4f8:271:4023::2,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
en.okyre.com,priyomail-net-3b4650c1,priyomail.net,gr.priyomail.net,162.55.238.165,2a01:4f8:271:4023::2,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
en.tempmailt.com,priyomail-net-3b4650c1,priyomail.net,gr.priyomail.net,162.55.238.165,2a01:4f8:271:4023::2,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
en.umail.asia,priyomail-net-3b4650c1,priyomail.net,gr.priyomail.net,162.55.238.165,2a01:4f8:271:4023::2,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
garanburn.shop,emailfake-com-12aa8573,emailfake.com,emailfake.com,91.196.52.205,,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
ghatedu.us,,,smtp.google.com,108.177.15.27|64.233.166.27|64.233.184.27|66.102.1.26|66.102.1.27,2a00:1450:400c:c06::1a|2a00:1450:400c:c09::1a|2a00:1450:400c:c0b::1a|2a00:1450:400c:c0c::1a,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
ghatkl.us,,,smtp.google.com,108.177.15.27|64.233.166.27|64.233.184.27|66.102.1.26|66.102.1.27,2a00:1450:400c:c06::1a|2a00:1450:400c:c09::1a|2a00:1450:400c:c0b::1a|2a00:1450:400c:c0c::1a,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
gmail.furlas.me,generator-email-27002afd,generator.email,generator.email,91.196.52.205,,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
gptproz.web.id,generator-email-27002afd,generator.email,generator.email,91.196.52.205,,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
gptwanz.web.id,generator-email-27002afd,generator.email,generator.email,91.196.52.205,,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
gronk.killa.com.br,emailfake-com-12aa8573,emailfake.com,emailfake.com,91.196.52.205,,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
hypecenter.casino,,,route1.mx.cloudflare.net|route2.mx.cloudflare.net|route3.mx.cloudflare.net,162.159.205.11|162.159.205.12|162.159.205.13|162.159.205.17|162.159.205.18|162.159.205.19|162.159.205.23|162.159.205.24|162.159.205.25,2606:4700:f5::10|2606:4700:f5::11|2606:4700:f5::12|2606:4700:f5::13|2606:4700:f5::b|2606:4700:f5::c|2606:4700:f5::d|2606:4700:f5::e|2606:4700:f5::f,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
hz8888.info,,,,,,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
jili222.net,,,,,,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
jomeil.com,jomeil-com-4a9fb22c,jomeil.com,mail.jomeil.com,168.144.12.142,,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
kepkatpro.my.id,generator-email-27002afd,generator.email,generator.email,91.196.52.205,,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
kim88vn.net,,,,,,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
kinggpt.biz.id,generator-email-27002afd,generator.email,generator.email,91.196.52.205,,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
lo666.net,,,,,,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
lode789.info,,,,,,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
lol646.org,,,,,,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
mailedu.edu.pl,edumaili-com-e78f1668,edumaili.com,mail.edumaili.com,104.247.161.194,,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
mameganteng.store,generator-email-27002afd,generator.email,generator.email,91.196.52.205,,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
masig.net,generator-email-27002afd,generator.email,generator.email,91.196.52.205,,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
mysteryion.com,mysteryion-com-e914b4e1,mysteryion.com,q5z940smailstore1.mysteryion.com,138.197.239.249,,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
neurospark.web.id,generator-email-27002afd,generator.email,generator.email,91.196.52.205,,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
nixaur.com,nixaur-com-25dc299a,nixaur.com,mail.nixaur.com,168.144.12.142,,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
otl.web.id,generator-email-27002afd,generator.email,generator.email,91.196.52.205,,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
pber.sgbteam.co,generator-email-27002afd,generator.email,generator.email,91.196.52.205,,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
phskylogin.com,,,,,,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
phuyenpro.online,,,,,,,,,
piraly.com,piraly-com-ae56d07e,piraly.com,mail.piraly.com,168.144.12.142,,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
quick.gatewaygardens.click,gatewaygardens-click-d73b0392,gatewaygardens.click,mail.quick.gatewaygardens.click,77.237.235.246,2a02:c206:2239:9872::1,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,2026-05-11T18:18:19.503Z,
